"<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2020.01.05	1558.650	1611.250	1540.170	1562.030	417142	0	195"
"2020.01.12	1559.911	1561.440	1535.850	1557.000	288879	0	185"
"2020.01.19	1557.520	1575.730	1546.290	1571.420	263672	0	190"
"2020.01.26	1581.140	1590.290	1563.305	1589.200	368721	0	190"
"2020.02.02	1590.810	1591.880	1547.440	1570.070	347703	0	190"
"2020.02.09	1571.600	1584.910	1561.830	1583.510	273268	0	175"
"2020.02.16	1582.100	1649.120	1578.800	1643.070	306365	0	190"
"2020.02.23	1653.250	1689.250	1562.760	1585.520	649126	0	180"
"2020.03.01	1591.170	1691.930	1575.280	1673.310	554215	0	185"
"2020.03.08	1690.770	1703.090	1504.430	1529.260	669370	0	200"
"2020.03.15	1565.330	1575.160	1451.130	1497.340	647997	0	145"
"2020.03.22	1502.550	1644.220	1482.270	1624.440	284291	0	200"
"2020.03.29	1638.045	1638.045	1567.780	1613.710	289588	0	200"
"2020.04.05	1620.840	1689.620	1608.640	1680.660	234164	0	40"
"2020.04.12	1683.240	1746.940	1674.750	1681.070	371383	0	200"
"2020.04.19	1678.660	1738.875	1659.240	1725.780	388172	0	190"
"2020.04.26	1725.960	1727.320	1670.220	1697.640	383197	0	150"
"2020.05.03	1700.270	1723.190	1681.400	1698.700	297894	0	200"
"2020.05.10	1700.670	1751.450	1688.160	1738.880	331845	0	150"
"2020.05.17	1743.810	1765.080	1717.170	1732.440	343833	0	0"
"2020.05.24	1732.310	1737.630	1693.630	1723.260	275568	0	0"
"2020.05.31	1733.120	1745.070	1670.600	1684.490	326867	0	145"
"2020.06.07	1681.770	1744.670	1677.180	1729.680	344547	0	0"
"2020.06.14	1732.330	1745.200	1704.060	1743.100	309018	0	185"
"2020.06.21	1752.340	1779.210	1742.820	1770.320	301704	0	0"
"2020.06.28	1771.900	1789.050	1757.470	1774.820	276118	0	0"
"2020.07.05	1776.180	1817.920	1769.840	1798.080	321187	0	0"
"2020.07.12	1799.100	1814.880	1790.440	1809.160	311916	0	0"
"2020.07.19	1810.010	1906.490	1805.590	1900.010	464019	0	0"
"2020.07.26	1900.540	1982.860	1899.460	1975.480	577835	0	0"
"2020.08.02	1978.750	2075.010	1960.420	2034.430	524387	0	0"
"2020.08.09	2034.140	2049.790	1862.330	1943.940	618265	0	0"
"2020.08.16	1948.970	2015.550	1911.300	1939.550	559101	0	0"
"2020.08.23	1940.220	1976.660	1902.720	1964.110	497529	0	0"
"2020.08.30	1965.150	1992.320	1916.450	1933.240	397102	0	0"
"2020.09.06	1930.780	1966.380	1906.400	1939.750	339628	0	180"
"2020.09.13	1940.480	1973.400	1932.730	1949.660	350962	0	250"
"2020.09.20	1950.230	1955.470	1848.650	1860.940	464821	0	0"
"2020.09.27	1860.530	1916.960	1848.850	1898.400	446932	0	0"
"2020.10.04	1901.040	1930.300	1872.740	1929.550	388225	0	0"
"2020.10.11	1929.410	1933.130	1882.420	1898.770	427918	0	0"
"2020.10.18	1899.640	1931.265	1894.280	1900.980	396923	0	0"
"2020.10.25	1902.990	1911.250	1859.920	1878.640	450228	0	0"
"2020.11.01	1878.050	1960.290	1873.365	1950.080	507305	0	0"
"2020.11.08	1952.540	1965.410	1850.460	1888.930	503328	0	0"
"2020.11.15	1888.440	1898.970	1852.690	1870.300	390416	0	0"
"2020.11.22	1870.520	1876.060	1774.240	1786.640	339970	0	0"
"2020.11.29	1787.090	1848.090	1764.550	1837.970	366475	0	0"
"2020.12.06	1838.730	1875.190	1822.090	1839.080	363323	0	0"
"2020.12.13	1840.840	1896.140	1819.040	1880.370	355872	0	0"
"2020.12.20	1884.280	1906.630	1855.070	1879.190	308305	0	0"
"2020.12.27	1883.920	1900.780	1869.230	1897.990	246417	0	0"
"2021.01.03	1904.850	1959.260	1828.180	1848.470	479003	0	0"
"2021.01.10	1847.880	1863.700	1817.040	1826.680	445935	0	0"
"2021.01.17	1828.060	1874.980	1802.440	1855.260	460747	0	0"
"2021.01.24	1853.920	1875.740	1831.365	1847.480	585268	0	0"
"2021.01.31	1864.820	1871.600	1784.960	1814.180	637942	0	0"
"2021.02.07	1814.910	1855.340	1807.730	1823.940	501256	0	0"
"2021.02.14	1824.510	1826.910	1760.580	1783.690	616805	0	0"
"2021.02.21	1780.940	1815.865	1717.140	1733.190	905095	0	0"
"2021.02.28	1731.450	1759.730	1687.200	1700.030	889201	0	0"
"2021.03.07	1704.990	1739.805	1676.755	1726.990	772615	0	0"
"2021.03.14	1727.610	1755.449	1719.170	1745.030	684292	0	0"
"2021.03.21	1745.810	1746.890	1721.530	1732.350	584025	0	0"
"2021.03.28	1732.080	1733.140	1677.810	1728.724	445860	0	0"
"2021.04.04	1727.090	1758.580	1721.150	1743.500	474198	0	0"
"2021.04.11	1740.500	1783.725	1723.640	1776.070	495245	0	0"
"2021.04.18	1777.290	1797.790	1763.540	1776.990	519646	0	0"
"2021.04.25	1774.830	1789.895	1756.190	1768.740	469201	0	0"
"2021.05.02	1767.810	1843.220	1765.930	1830.840	485437	0	0"
"2021.05.09	1832.380	1845.517	1808.700	1842.530	573909	0	0"
"2021.05.16	1842.390	1889.980	1842.150	1880.620	537751	0	0"
"2021.05.23	1880.910	1912.680	1872.700	1903.160	501493	0	0"
"2021.05.30	1903.130	1916.490	1855.890	1890.910	458464	0	0"
"2021.06.06	1891.570	1903.650	1869.890	1876.840	461878	0	0"
"2021.06.13	1876.450	1877.610	1760.810	1763.690	567455	0	0"
"2021.06.20	1767.180	1794.810	1766.400	1781.340	501592	0	0"
"2021.06.27	1780.610	1794.970	1750.690	1787.170	468463	0	0"
"2021.07.04	1786.330	1818.310	1784.370	1808.210	445739	0	0"
"2021.07.11	1807.810	1833.960	1791.550	1811.820	444106	0	0"
"2021.07.18	1811.870	1824.840	1789.870	1801.890	484882	0	0"
"2021.07.25	1802.230	1832.580	1792.470	1813.790	458759	0	0"
"2021.08.01	1813.890	1831.630	1758.600	1762.850	424114	0	0"
"2021.08.08	1763.130	1779.928	1609.540	1779.540	476555	0	0"
"2021.08.15	1777.160	1795.460	1770.750	1780.740	466795	0	0"
"2021.08.22	1779.530	1819.140	1776.420	1817.040	434326	0	0"
"2021.08.29	1819.250	1833.900	1801.620	1827.470	414557	0	0"
"2021.09.05	1828.250	1830.180	1782.270	1787.140	416967	0	0"
"2021.09.12	1789.390	1808.535	1745.210	1754.320	450374	0	0"
"2021.09.19	1754.100	1787.220	1737.780	1750.140	453153	0	0"
"2021.09.26	1749.600	1764.190	1721.570	1760.580	515178	0	0"
"2021.10.03	1761.050	1781.250	1745.866	1756.860	466023	0	0"
"2021.10.10	1756.770	1800.465	1750.080	1767.350	447519	0	0"
"2021.10.17	1766.530	1813.770	1760.220	1792.080	506470	0	0"
"2021.10.24	1792.810	1810.300	1771.900	1782.990	497347	0	0"
"2021.10.31	1783.020	1818.180	1758.790	1817.940	440257	0	0"
"2021.11.07	1817.490	1868.540	1812.351	1864.680	457540	0	0"
"2021.11.14	1866.130	1877.140	1842.960	1845.430	447281	0	0"
"2021.11.21	1845.610	1848.990	1778.460	1791.530	443420	0	0"
"2021.11.28	1787.270	1808.660	1718.190	1782.620	517672	0	0"
"2021.12.05	1783.260	1793.050	1770.050	1782.500	389924	0	0"
"2021.12.12	1782.010	1814.154	1753.000	1797.600	386167	0	0"
"2021.12.19	1799.580	1810.640	1784.870	1808.481	270874	0	0"
"2021.12.26	1807.670	1830.220	1789.371	1829.290	298234	0	0"
"2022.01.02	1829.070	1831.630	1782.610	1796.050	412102	0	0"
"2022.01.09	1794.990	1829.040	1790.310	1817.520	405144	0	0"
"2022.01.16	1817.780	1847.870	1805.700	1834.860	444276	0	0"
"2022.01.23	1833.070	1853.770	1780.140	1790.980	495866	0	0"
"2022.01.30	1790.360	1814.800	1785.470	1807.800	397930	0	0"
"2022.02.06	1806.860	1865.380	1806.440	1857.870	434045	0	0"
"2022.02.13	1858.890	1902.380	1844.410	1897.090	496661	0	0"
"2022.02.20	1898.920	1974.420	1878.110	1888.940	540984	0	0"
"2022.02.27	1917.180	1970.510	1890.860	1969.840	594198	0	0"
"2022.03.06	1973.170	2070.300	1958.650	1987.850	685791	0	0"
"2022.03.13	1986.880	1989.925	1895.170	1921.110	440229	0	0"
"2022.03.20	1920.760	1966.040	1910.700	1957.640	384818	0	0"
"2022.03.27	1957.310	1958.980	1890.020	1925.100	468402	0	0"
"2022.04.03	1924.730	1948.024	1915.110	1946.980	416301	0	0"
"2022.04.10	1926.550	1981.470	1926.550	1973.380	355241	0	0"
"2022.04.17	1973.710	1998.230	1926.560	1930.950	489942	0	0"
"2022.04.24	1928.110	1934.320	1872.010	1896.200	517530	0	0"
"2022.05.01	1896.550	1909.660	1850.280	1882.620	472006	0	0"
"2022.05.08	1881.770	1885.563	1799.050	1811.030	514217	0	0"
"2022.05.15	1810.170	1849.360	1786.595	1846.090	751802	0	201"
"2022.05.22	1844.850	1869.660	1840.860	1852.890	357677	0	0"
"2022.05.29	1851.530	1873.997	1828.440	1850.520	313690	0	0"
"2022.06.05	1850.050	1875.920	1825.030	1871.050	354923	0	0"
"2022.06.12	1874.510	1878.850	1805.040	1838.810	533112	0	0"
"2022.06.19	1837.070	1847.790	1816.840	1825.940	412827	0	0"
"2022.06.26	1837.190	1840.930	1784.430	1810.700	448618	0	0"
"2022.07.03	1811.430	1814.150	1727.200	1742.000	423471	0	0"
"2022.07.10	1742.150	1745.340	1697.500	1707.650	952348	0	201"
"2022.07.17	1707.190	1739.160	1680.813	1727.050	847296	0	201"
"2022.07.24	1727.330	1767.850	1711.468	1765.580	873170	0	201"
"2022.07.31	1763.110	1794.870	1754.200	1775.030	888287	0	201"
"2022.08.07	1773.270	1807.880	1770.530	1801.880	734103	0	201"
"2022.08.14	1802.330	1802.330	1745.470	1746.550	736341	0	201"
"2022.08.21	1746.120	1765.433	1727.650	1737.420	471967	0	201"
"2022.08.28	1736.100	1745.425	1688.775	1711.480	912952	0	201"
"2022.09.04	1712.620	1729.420	1691.305	1716.450	891432	0	201"
"2022.09.11	1715.770	1735.050	1654.090	1675.550	1022569	0	201"
"2022.09.18	1675.949	1687.980	1639.671	1643.589	1085159	0	201"
"2022.09.25	1643.449	1675.300	1614.749	1660.260	1268047	0	201"
"2022.10.02	1659.619	1729.420	1659.515	1694.339	1079966	0	201"
"2022.10.09	1695.420	1699.720	1640.110	1643.899	1121325	0	201"
"2022.10.16	1644.099	1668.370	1617.090	1657.210	1073811	0	201"
"2022.10.23	1657.039	1674.905	1637.930	1644.419	1181661	0	201"
"2022.10.30	1642.720	1681.849	1616.590	1681.389	1164473	0	201"
"2022.11.06	1672.912	1772.560	1664.650	1770.939	1246637	0	201"
"2022.11.13	1763.799	1786.393	1747.450	1750.473	1235959	0	201"
"2022.11.20	1750.059	1761.070	1721.580	1754.419	839082	0	201"
"2022.11.27	1756.049	1804.350	1739.400	1797.129	1145880	0	201"
"2022.12.04	1796.099	1809.997	1765.760	1796.589	1041554	0	201"
"2022.12.11	1795.649	1824.450	1773.690	1792.759	1119563	0	201"
"2022.12.18	1790.529	1823.720	1783.770	1797.830	946344	0	201"
"2022.12.25	1799.380	1833.290	1796.960	1823.679	615815	0	201"
"2023.01.01	1827.010	1869.840	1823.700	1865.279	926928	0	201"
"2023.01.08	1865.629	1921.860	1865.179	1919.769	1036300	0	201"
"2023.01.15	1920.299	1937.440	1896.537	1925.599	986487	0	201"
"2023.01.22	1926.759	1949.090	1911.280	1927.509	941697	0	201"
"2023.01.29	1927.229	1959.710	1861.270	1864.179	1127108	0	201"
"2023.02.05	1864.679	1890.150	1852.640	1865.239	1027822	0	201"
"2023.02.12	1864.890	1870.439	1818.840	1841.859	966701	0	201"
"2023.02.19	1840.509	1847.410	1808.860	1810.689	851567	0	201"
"2023.02.26	1810.710	1856.840	1804.610	1856.059	883804	0	201"
"2023.03.05	1854.609	1870.120	1809.310	1867.629	1038634	0	201"
"2023.03.12	1872.479	1989.049	1871.450	1987.669	1594935	0	201"
"2023.03.19	1984.419	2009.691	1934.159	1971.489	849050	0	0"
"2023.03.26	1978.270	1987.555	1943.922	1968.069	762039	0	201"
"2023.04.02	1972.039	2032.011	1949.660	2005.089	764252	0	201"
"2023.04.09	1992.729	2048.600	1981.556	2003.539	939177	0	201"
"2023.04.16	2000.359	2014.930	1969.139	1982.109	980613	0	201"
"2023.04.23	1979.930	2009.240	1973.930	1989.339	1057841	0	201"
"2023.04.30	1991.059	2077.090	1976.960	2015.679	1138674	0	201"
"2023.05.07	2014.779	2048.091	2000.840	2009.839	969149	0	201"
"2023.05.14	2007.880	2022.065	1951.880	1976.819	928957	0	97"
"2023.05.21	1976.850	1985.235	1936.660	1944.839	968513	0	201"
"2023.05.28	1942.230	1983.320	1931.940	1946.779	845933	0	201"
"2023.06.04	1946.990	1972.971	1938.040	1960.349	796225	0	201"
"2023.06.11	1960.229	1970.967	1924.660	1956.769	858654	0	201"
"2023.06.18	1958.100	1958.676	1910.069	1920.149	769224	0	201"
"2023.06.25	1926.000	1933.260	1892.940	1919.099	785735	0	201"
"2023.07.02	1919.010	1934.960	1902.540	1924.149	692952	0	201"
"2023.07.09	1924.350	1963.630	1912.580	1954.489	788596	0	201"
"2023.07.16	1954.010	1987.390	1945.690	1961.039	765237	0	201"
"2023.07.23	1961.210	1982.090	1942.520	1958.649	787157	0	201"
"2023.07.30	1959.190	1972.300	1924.459	1942.299	668322	0	201"
"2023.08.06	1940.530	1946.650	1910.769	1913.069	561576	0	201"
"2023.08.13	1913.100	1916.110	1884.960	1888.869	606933	0	201"
"2023.08.20	1889.020	1923.230	1884.759	1914.619	612030	0	201"
"2023.08.27	1915.130	1952.900	1912.689	1938.969	547161	0	199"
"2023.09.03	1940.090	1946.180	1915.180	1918.159	489853	0	201"
"2023.09.10	1918.689	1930.609	1900.905	1923.049	583490	0	201"
"2023.09.17	1923.800	1947.330	1913.839	1924.639	552914	0	201"
"2023.09.24	1924.650	1927.117	1846.210	1848.129	590534	0	201"
"2023.10.01	1847.900	1850.225	1810.333	1832.499	729566	0	201"
"2023.10.08	1845.880	1932.740	1841.444	1932.449	708036	0	201"
"2023.10.15	1926.420	1997.090	1908.080	1980.619	807419	0	201"
"2023.10.22	1975.750	2009.350	1953.418	2005.979	801234	0	201"
"2023.10.29	2001.580	2007.870	1969.820	1992.129	769737	0	201"
"2023.11.05	1991.200	1993.006	1932.939	1937.219	639440	0	201"
"2023.11.12	1936.749	1993.340	1920.500	1980.119	639991	0	201"
"2023.11.19	1977.950	2007.480	1965.319	2002.089	634913	0	201"
"2023.11.26	2001.350	2075.270	1999.029	2071.429	797225	0	201"
"2023.12.03	2073.509	2144.539	1994.560	2003.259	1013547	0	201"
"2023.12.10	2003.800	2047.799	1972.950	2019.509	870246	0	201"
"2023.12.17	2019.050	2070.529	2015.900	2052.379	675416	0	201"
"2023.12.24	2053.619	2088.360	2052.259	2061.769	458925	0	201"
"2023.12.31	2063.330	2078.820	2024.390	2044.609	674582	0	201"
"2024.01.07	2045.019	2062.150	2013.230	2048.709	846853	0	201"
"2024.01.14	2048.680	2058.510	2001.750	2029.289	788681	0	201"
"2024.01.21	2029.250	2037.750	2009.212	2018.009	699137	0	201"
"2024.01.28	2025.890	2065.320	2019.200	2038.896	822984	0	201"
"2024.02.04	2038.140	2044.460	2014.780	2024.399	624073	0	201"
"2024.02.11	2023.660	2032.400	1984.149	2011.031	555825	0	201"
"2024.02.18	2014.010	2041.280	2009.259	2035.359	493575	0	201"
"2024.02.25	2033.930	2088.227	2024.389	2081.965	568692	0	201"
"2024.03.03	2082.730	2195.040	2079.368	2178.221	876666	0	201"
"2024.03.10	2179.499	2188.920	2150.539	2155.517	748662	0	201"
"2024.03.17	2155.920	2222.349	2145.990	2164.694	818418	0	201"
"2024.03.24	2162.990	2235.959	2162.880	2233.620	636414	0	201"
"2024.03.31	2238.440	2330.360	2228.410	2328.587	1034418	0	201"
"2024.04.07	2323.019	2431.379	2302.799	2343.009	1360210	0	201"
"2024.04.14	2350.360	2417.739	2324.184	2391.374	1312441	0	201"
"2024.04.21	2387.020	2388.510	2291.200	2336.266	988502	0	201"
"2024.04.28	2334.799	2346.559	2277.180	2301.099	952266	0	201"
"2024.05.05	2301.360	2378.360	2287.940	2359.154	793302	0	201"
"2024.05.12	2362.499	2422.549	2332.009	2413.654	829821	0	201"
"2024.05.19	2417.689	2449.956	2325.297	2333.489	1044575	0	201"
"2024.05.26	2333.629	2363.962	2320.429	2325.435	858302	0	201"
"2024.06.02	2329.090	2387.612	2286.610	2293.504	988893	0	201"
"2024.06.09	2292.419	2341.555	2287.609	2331.999	814857	0	201"
"2024.06.16	2333.289	2368.599	2306.499	2321.364	685974	0	201"
"2024.06.23	2321.007	2339.569	2293.489	2326.201	719128	0	201"
"2024.06.30	2324.579	2392.840	2318.417	2389.119	656526	0	201"
"2024.07.07	2387.749	2424.419	2349.309	2410.757	754104	0	201"
"2024.07.14	2411.830	2483.559	2393.670	2400.709	960251	0	201"
"2024.07.21	2399.820	2431.895	2353.030	2386.140	967858	0	201"
"2024.07.28	2387.794	2477.509	2369.559	2442.579	1132606	0	201"
"2024.08.04	2440.795	2458.649	2364.206	2431.012	1252679	0	201"
"2024.08.11	2430.419	2509.640	2423.699	2507.399	883548	0	201"
"2024.08.18	2507.930	2531.559	2470.799	2511.744	905689	0	201"
"2024.08.25	2509.970	2528.930	2493.539	2501.449	830069	0	201"
"2024.09.01	2503.119	2529.129	2471.758	2497.031	843569	0	201"
"2024.09.08	2497.212	2585.990	2485.429	2576.718	854422	0	201"
"2024.09.15	2577.680	2625.670	2546.779	2620.983	894041	0	201"
"2024.09.22	2617.487	2685.510	2613.739	2658.178	1001269	0	201"
"2024.09.29	2657.769	2673.070	2624.569	2652.218	916573	0	201"
"2024.10.06	2651.380	2661.325	2600.589	2656.802	1004031	0	201"
"2024.10.13	2654.999	2722.419	2637.990	2720.646	890150	0	201"
"2024.10.20	2716.340	2758.310	2708.720	2746.199	971271	0	201"
"2024.10.27	2731.109	2790.040	2724.619	2736.000	880734	0	201"
"2024.11.03	2733.240	2749.779	2644.690	2683.788	1132782	0	201"
"2024.11.10	2684.669	2686.071	2537.650	2562.093	1177398	0	201"
"2024.11.17	2560.790	2716.189	2560.790	2715.549	1051418	0	201"
"2024.11.24	2712.690	2721.067	2606.199	2650.220	1031291	0	201"
"2024.12.01	2651.188	2656.979	2614.030	2632.380	1095134	0	201"
"2024.12.08	2644.872	2725.860	2627.695	2647.326	966003	0	201"
"2024.12.15	2648.914	2664.260	2581.689	2622.456	902617	0	201"
"2024.12.22	2620.019	2638.929	2608.300	2621.065	460898	0	201"
"2024.12.29	2619.233	2665.186	2596.129	2638.800	583531	0	201"
"2025.01.05	2638.918	2697.825	2615.544	2687.909	828633	0	201"
"2025.01.12	2688.690	2724.667	2656.760	2700.972	858591	0	201"
"2025.01.19	2701.225	2785.820	2689.345	2769.289	854537	0	201"
"2025.01.26	2769.789	2816.879	2730.834	2796.538	810357	0	201"
"2025.02.02	2797.585	2886.590	2772.100	2858.509	974216	0	201"
"2025.02.09	2855.360	2942.590	2854.651	2880.605	1128609	0	201"
"2025.02.16	2881.095	2954.760	2878.319	2933.499	846417	0	201"
"2025.02.23	2934.939	2956.063	2832.370	2856.390	862517	0	201"
"2025.03.02	2855.350	2930.240	2855.100	2907.460	818974	0	201"
"2025.03.09	2910.110	3004.890	2879.960	2983.270	719191	0	201"
"2025.03.16	2983.610	3057.300	2981.980	3020.980	674821	0	201"
"2025.03.23	3019.270	3086.740	3002.360	3081.790	752874	0	201"
"2025.03.30	3085.670	3167.590	3015.610	3035.140	1116627	0	201"
"2025.04.06	3007.950	3245.230	2956.200	3234.280	1338209	0	201"
"2025.04.13	3228.080	3357.600	3193.300	3326.130	746665	0	201"
"2025.04.20	3331.880	3499.920	3259.810	3315.580	1329783	0	201"
"2025.04.27	3323.960	3352.820	3201.860	3236.380	1254071	0	201"
"2025.05.04	3237.650	3436.970	3236.490	3322.370	1304116	0	201"
"2025.05.11	3285.490	3291.540	3120.420	3201.160	1313550	0	201"
"2025.05.18	3215.480	3365.770	3204.240	3355.820	1194425	0	201"
"2025.05.25	3354.940	3356.540	3245.190	3288.340	1068819	0	201"
"2025.06.01	3298.240	3403.460	3295.220	3309.830	1182423	0	201"
"2025.06.08	3310.530	3446.750	3293.460	3431.880	1159543	0	201"
"2025.06.15	3432.150	3451.210	3340.270	3367.930	964993	0	0"
"2025.06.22	3388.170	3396.480	3255.650	3269.950	986698	0	201"
"2025.06.29	3272.200	3365.390	3243.830	3336.100	785251	0	201"
